CityName,StimuliFile,CityImage,StreetSign,Cue,Image,Category,Novelty,UpdateImage,TestImage1,TestImage2,TestImage3,TestImage4,TestImage1Type,TestImage2Type,TestImage3Type,TestImage4Type,CityBlock.thisRepN,CityBlock.thisTrialN,CityBlock.thisN,CityBlock.thisIndex,LearningTrials.thisRepN,LearningTrials.thisTrialN,LearningTrials.thisN,LearningTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,learning_instructions_text.started,learning_instructions_text.stopped,intro_key.keys,intro_key.rt,intro_key.started,intro_key.stopped,cityname_text.started,cityname_text.stopped,city_image.started,city_image.stopped,plate.started,plate.stopped,city_text.started,city_text.stopped,street_text.started,street_text.stopped,learning_image.started,learning_image.stopped,fx_cross.started,fx_cross.stopped,short_break_text.started,short_break_text.stopped,short_break_key.keys,short_break_key.started,short_break_key.stopped,short_break_key.rt,test_text.started,test_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,plate_test.started,plate_test.stopped,city_text_test.started,city_text_test.stopped,street_text_test.started,street_text_test.stopped,test_question.started,test_question.stopped,test_key_resp.keys,test_key_resp.started,test_key_resp.stopped,button_image.started,button_image.stopped,plate_verbal.started,plate_verbal.stopped,street_text_verbal.started,street_text_verbal.stopped,city_text_verbal.started,city_text_verbal.stopped,question_verbal.started,question_verbal.stopped,verbal_test_key_resp.keys,verbal_test_key_resp.started,verbal_test_key_resp.stopped,test_key_resp.rt,verbal_test_key_resp.rt,break_text.started,break_text.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.started,break_key_resp.stopped,end_text.started,end_text.stopped,participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.56567619,None,space,18.26297722,18.56567619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,HARMONIKA UTCA,stimuli/scenes/028a.jpg,scene,2,stimuli/objects/099a.jpg,stimuli/objects/099a.jpg,stimuli/objects/015b.jpg,stimuli/objects/015a.jpg,stimuli/objects/099b.jpg,target,dist2,dist1,lure,0,0,0,0,0,0,0,63,,,,,,,,,,,37.08985509,None,37.08985509,None,39.98286914,None,39.98286914,None,39.98286914,None,39.98286914,None,42.8730496,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,VITORLA UTCA,stimuli/scenes/086a.jpg,scene,2,stimuli/objects/015a.jpg,stimuli/objects/015b.jpg,stimuli/objects/115a.jpg,stimuli/objects/015a.jpg,stimuli/objects/115b.jpg,lure,dist1,target,dist2,0,0,0,0,0,1,1,77,,,,,,,,,,,,,,,43.93435055,None,43.93435055,None,43.93435055,None,43.93435055,None,46.88615946,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,LOVAGLÁS UTCA,stimuli/objects/110a.jpg,object,1,stimuli/objects/010a.jpg,stimuli/objects/010b.jpg,stimuli/scenes/007a.jpg,stimuli/objects/010a.jpg,stimuli/scenes/007b.jpg,lure,dist1,target,dist2,0,0,0,0,0,2,2,22,,,,,,,,,,,,,,,47.92115703,None,47.92115703,None,47.92115703,None,47.92115703,None,50.90278992,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MAJORÁNNA UTCA,stimuli/objects/068a.jpg,object,0,stimuli/objects/068a.jpg,stimuli/objects/068a.jpg,stimuli/scenes/118a.jpg,stimuli/objects/068b.jpg,stimuli/scenes/118b.jpg,target,dist1,lure,dist2,0,0,0,0,0,3,3,57,,,,,,,,,,,,,,,51.96488051,None,51.96488051,None,51.96488051,None,51.96488051,None,54.90818899,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,TÁBLA UTCA,stimuli/objects/118a.jpg,object,1,stimuli/objects/042a.jpg,stimuli/scenes/084a.jpg,stimuli/scenes/084b.jpg,stimuli/objects/042a.jpg,stimuli/objects/042b.jpg,dist1,dist2,target,lure,0,0,0,0,0,4,4,78,,,,,,,,,,,,,,,55.91995717,None,55.91995717,None,55.91995717,None,55.91995717,None,58.90731537,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,DARU UTCA,stimuli/scenes/035a.jpg,scene,1,stimuli/scenes/080a.jpg,stimuli/scenes/080b.jpg,stimuli/objects/010b.jpg,stimuli/objects/010a.jpg,stimuli/scenes/080a.jpg,lure,dist2,dist1,target,0,0,0,0,0,5,5,41,,,,,,,,,,,,,,,59.95265889,None,59.95265889,None,59.95265889,None,59.95265889,None,62.92297331,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,FOGÓ UTCA,stimuli/scenes/072a.jpg,scene,0,stimuli/scenes/072a.jpg,stimuli/scenes/072b.jpg,stimuli/scenes/072a.jpg,stimuli/objects/104b.jpg,stimuli/objects/104a.jpg,lure,target,dist2,dist1,0,0,0,0,0,6,6,70,,,,,,,,,,,,,,,63.95796,None,63.95796,None,63.95796,None,63.95796,None,66.93118077,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,MARTINI UTCA,stimuli/scenes/069a.jpg,scene,0,stimuli/scenes/069a.jpg,stimuli/objects/065a.jpg,stimuli/scenes/069b.jpg,stimuli/scenes/069a.jpg,stimuli/objects/065b.jpg,dist1,lure,target,dist2,0,0,0,0,0,7,7,54,,,,,,,,,,,,,,,67.99630213,None,67.99630213,None,67.99630213,None,67.99630213,None,70.93999004,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
Hippopolis,stimuli/subj_files/pilot1_cityA.csv,./stimuli/frankfurt.jpg,./stimuli/street_plate1.png,VÁSÁR UTCA,stimuli/objects/060a.jpg,object,1,stimuli/objects/076a.jpg,stimuli/objects/076b.jpg,stimuli/objects/076a.jpg,stimuli/objects/080b.jpg,stimuli/objects/080a.jpg,lure,target,dist2,dist1,0,0,0,0,0,8,8,40,,,,,,,,,,,,,,,71.99923648,None,71.99923648,None,71.99923648,None,71.99923648,None,74.96029503,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot1,2022_Jun_16_0904,Hippopolis_Learning,2021.1.4,59.99488753
